,state,acclength,areacode,interplan,vmailplan,vmailmess,daycalls,daycharge,evecalls,evecharge,nightcalls,nightcharge,intlmins,intlcalls,intlcharge,custservcalls,churn
662,DC,88,415,no,yes,17,78,37.32,94,18.88,92,8.47,16.1,5,4.35,1,no
663,VT,111,408,no,no,0,112,16.88,136,22.99,94,10.14,9.0,6,2.43,3,no
664,NV,77,415,no,no,0,114,40.66,115,12.75,81,7.24,10.3,2,2.78,5,no
665,OR,67,415,yes,no,0,58,20.55,88,19.98,130,4.28,11.4,11,3.08,2,no
666,AL,102,408,no,no,0,81,38.2,112,11.0,109,7.54,15.8,6,4.27,1,no
667,FL,144,415,no,yes,51,98,48.26,109,16.32,85,8.83,10.0,4,2.7,1,no
668,NE,96,415,no,no,0,92,30.7,114,16.23,125,13.3,10.3,4,2.78,1,yes
669,ND,70,415,no,yes,31,101,21.4,102,16.69,75,11.37,10.3,4,2.78,1,no
670,ME,149,408,no,no,0,79,40.39,107,16.35,111,9.33,9.1,9,2.46,0,no
671,IL,129,415,no,no,0,91,33.73,106,22.5,101,5.01,9.2,2,2.48,2,no
672,MA,136,408,yes,no,0,89,33.93,96,17.97,84,3.26,11.0,4,2.97,3,yes
673,KS,149,510,no,no,0,91,37.01,74,23.25,99,10.21,9.6,3,2.59,3,no
674,RI,70,415,no,no,0,96,22.9,90,20.05,113,11.71,7.6,6,2.05,3,no
675,IA,66,510,no,no,0,135,43.57,106,15.32,135,8.43,6.2,7,1.67,2,no
676,NV,160,415,no,no,0,90,29.95,115,16.66,95,11.88,9.2,4,2.48,1,no
677,WI,129,415,no,yes,37,94,34.85,103,14.06,81,8.32,11.7,8,3.16,1,no
678,AL,93,408,no,no,0,114,45.54,74,18.96,90,11.82,11.3,3,3.05,3,yes
679,HI,169,415,no,no,0,111,30.46,130,14.89,92,10.29,9.9,6,2.67,2,no
680,MO,58,415,no,no,0,145,25.4,105,16.7,108,9.43,14.9,3,4.02,1,no
681,MO,45,408,no,no,0,71,35.29,94,12.98,125,9.8,12.4,13,3.35,1,no
682,CT,155,510,no,no,0,108,28.12,103,15.61,108,3.61,8.9,4,2.4,3,no
683,MD,52,415,no,no,0,114,35.67,82,14.56,119,6.96,9.9,9,2.67,4,no
684,OH,119,415,no,yes,27,128,37.42,133,22.8,80,6.59,11.1,3,3.0,0,no
685,NV,86,510,no,no,0,72,24.02,95,13.12,91,9.48,8.2,5,2.21,1,no
686,OH,123,408,no,no,0,150,17.85,90,21.39,93,11.61,14.9,5,4.02,0,no
687,MA,98,510,no,no,0,119,46.14,102,16.18,118,12.81,11.1,6,3.0,4,yes
688,OK,149,510,no,yes,43,79,35.14,122,14.84,80,10.87,10.9,3,2.94,1,no
689,MA,160,408,no,no,0,109,28.36,117,20.06,77,13.84,9.3,1,2.51,1,no
690,HI,132,415,no,yes,15,128,26.28,106,20.88,90,6.69,9.1,4,2.46,1,no
691,CO,137,415,no,no,0,107,21.59,75,27.47,127,6.48,7.5,2,2.03,1,no
692,FL,129,415,yes,no,0,78,45.46,85,17.36,146,5.03,5.9,4,1.59,1,no
693,WI,62,415,no,no,0,66,47.77,108,13.65,74,3.51,0.0,0,0.0,1,no
694,ID,122,510,no,yes,33,96,46.04,110,18.73,104,7.65,11.8,8,3.19,4,no
695,WY,32,408,no,no,0,82,29.1,102,15.78,64,9.15,10.2,7,2.75,1,no
696,GA,86,510,no,no,0,82,21.1,120,17.22,119,13.03,6.7,8,1.81,3,no
697,FL,130,415,no,no,0,113,27.68,111,24.68,140,5.17,7.2,3,1.94,1,no
698,WY,42,408,no,no,0,84,24.87,113,21.75,117,2.03,8.0,12,2.16,1,no
699,ME,66,408,no,yes,26,108,43.33,135,20.67,95,8.59,5.4,3,1.46,2,no
700,DC,103,510,no,yes,31,124,18.31,104,16.06,98,8.83,8.9,3,2.4,0,no
701,IA,128,408,no,no,0,75,27.0,91,22.51,77,12.15,7.6,7,2.05,1,no
702,CO,104,415,no,no,0,113,31.09,85,20.37,104,10.34,5.5,4,1.49,2,no
703,MN,103,415,no,no,0,112,33.75,90,3.61,124,8.06,12.4,5,3.35,0,no
704,VT,124,415,no,no,0,72,30.33,134,19.86,91,8.07,12.0,2,3.24,0,no
705,AZ,87,510,no,no,0,91,18.85,115,13.47,131,9.34,6.2,5,1.67,1,no
706,LA,109,415,no,yes,27,85,28.37,92,18.8,97,8.88,12.3,4,3.32,1,yes
707,MO,167,415,yes,no,0,91,41.62,105,5.17,110,7.95,10.7,3,2.89,2,no
708,ME,97,510,no,no,0,96,20.54,101,14.43,63,8.73,11.9,3,3.21,4,yes
709,VT,125,415,no,no,0,113,21.54,131,13.22,112,9.28,14.4,7,3.89,2,no
710,DC,108,408,no,yes,35,106,36.7,107,17.05,107,8.79,15.5,7,4.19,0,no
711,WY,125,415,no,no,0,132,23.82,126,17.82,77,11.88,8.0,2,2.16,1,no
712,VA,72,510,yes,yes,29,114,23.77,91,11.75,88,9.95,5.5,6,1.49,0,no
713,CT,23,510,no,no,0,107,54.67,115,21.39,158,6.35,11.3,3,3.05,2,yes
714,HI,149,510,no,no,0,61,28.32,107,18.6,131,9.37,8.2,6,2.21,7,no
715,MD,61,415,no,no,0,123,44.2,127,17.89,70,10.56,9.0,3,2.43,1,yes
716,WV,161,415,no,no,0,113,32.62,87,6.03,107,9.22,13.4,4,3.62,4,yes
717,VT,73,408,no,no,0,95,36.21,104,16.05,89,6.13,13.5,3,3.65,0,no
718,UT,118,415,no,yes,24,83,20.08,72,9.32,73,11.05,16.9,2,4.56,1,no
719,CO,23,408,no,no,0,89,32.33,108,14.14,73,9.89,15.0,4,4.05,6,no
720,NC,127,415,no,yes,25,95,13.97,109,13.88,104,11.92,5.1,6,1.38,0,no
721,NJ,42,415,no,yes,32,80,27.85,123,15.11,106,8.57,8.1,5,2.19,0,no
722,AR,118,415,no,no,0,145,45.53,121,26.89,91,9.39,14.4,11,3.89,5,yes
723,IA,45,510,no,no,0,91,27.17,86,10.23,93,7.34,10.6,3,2.86,2,no
724,MO,179,510,no,no,0,123,48.84,114,24.48,112,11.97,10.5,4,2.84,0,yes
725,MO,152,408,no,no,0,122,17.2,87,12.04,124,8.93,7.5,3,2.03,2,no
726,WY,105,415,no,no,0,74,17.48,125,23.94,113,10.26,13.2,5,3.56,2,no
727,PA,52,408,no,no,0,67,36.7,108,18.45,130,15.43,5.2,2,1.4,1,no
728,TX,125,415,no,no,0,110,34.58,97,10.94,113,8.57,11.0,4,2.97,1,no
729,VA,143,510,no,no,0,113,18.72,59,14.37,94,7.5,9.2,2,2.48,1,no
730,RI,65,415,no,no,0,51,18.87,84,18.68,89,9.09,4.4,14,1.19,1,no
731,WI,80,415,no,no,0,121,40.78,51,12.1,106,16.39,9.3,5,2.51,1,no
732,KY,60,408,no,no,0,134,23.02,85,17.5,103,9.18,7.9,4,2.13,1,no
733,UT,81,415,no,yes,24,117,22.12,61,16.66,123,6.27,11.4,5,3.08,0,no
734,ME,205,510,no,yes,24,139,29.89,98,13.18,64,8.13,7.8,5,2.11,2,no
735,OH,74,415,no,no,0,106,23.24,105,19.43,114,11.94,9.8,4,2.65,0,no
736,WV,77,510,no,no,0,68,11.51,86,16.63,137,10.64,12.0,2,3.24,1,no
737,KY,74,510,yes,no,0,103,21.39,96,17.65,143,9.33,14.1,4,3.81,1,yes
738,AL,200,408,no,no,0,87,21.79,105,11.32,123,7.99,11.2,2,3.02,1,no
739,MD,86,408,no,no,0,88,38.47,107,18.96,92,11.5,13.0,3,3.51,4,no
740,DC,76,415,no,no,0,121,38.15,97,12.57,74,8.27,6.7,2,1.81,2,no
741,TX,130,415,no,no,0,127,20.49,52,16.12,107,12.15,14.3,2,3.86,1,no
742,OH,56,408,no,no,0,90,15.49,115,15.24,89,13.53,11.9,8,3.21,2,no
743,DE,117,415,no,no,0,137,28.7,107,20.52,106,9.22,15.5,4,4.19,0,no
744,IA,63,510,no,no,0,81,26.1,115,24.42,85,10.36,6.5,5,1.76,2,no
745,OR,132,510,no,no,0,107,32.62,127,17.59,88,12.24,12.6,2,3.4,1,no
746,NV,81,415,no,yes,28,147,28.54,105,16.21,103,8.69,9.2,6,2.48,4,yes
747,NC,122,415,no,no,0,88,30.6,77,12.33,120,10.52,11.5,6,3.11,2,no
748,AL,87,408,no,no,0,124,40.32,87,18.92,81,7.8,11.0,3,2.97,1,no
749,AK,108,415,no,no,0,129,17.51,103,20.6,89,7.66,7.9,3,2.13,1,no
750,VT,101,415,no,no,0,89,26.15,89,19.89,77,8.83,11.6,2,3.13,4,no
751,PA,53,415,no,no,0,86,34.87,95,13.64,142,6.73,10.7,2,2.89,3,no
752,AK,132,415,no,yes,39,93,29.87,94,15.91,118,10.15,8.6,3,2.32,2,no
753,CA,158,510,no,no,0,123,26.5,112,19.06,116,9.95,8.6,8,2.32,2,no
754,MS,114,415,no,yes,34,109,26.25,142,18.82,103,9.38,10.3,5,2.78,0,no
755,AR,77,415,no,yes,23,73,35.65,63,15.61,111,9.25,7.1,3,1.92,2,no
756,AL,91,510,no,yes,23,97,39.51,88,15.81,128,8.57,12.3,3,3.32,3,no
757,MA,97,408,no,no,0,81,36.99,51,27.24,110,6.78,4.2,3,1.13,0,no
758,NJ,107,415,no,no,0,95,36.06,88,12.76,111,9.89,7.7,2,2.08,3,no
759,MO,142,415,no,yes,30,75,26.18,97,14.09,83,12.15,10.8,5,2.92,1,no
760,NY,9,408,no,yes,31,130,32.95,98,17.22,102,8.6,13.3,2,3.59,1,no
761,AZ,73,415,no,no,0,130,29.82,105,21.09,85,5.51,12.2,4,3.29,0,no
762,NJ,48,510,no,yes,22,63,25.84,131,22.0,109,11.84,15.7,5,4.24,2,yes
763,WV,43,408,no,no,0,147,39.13,121,15.87,100,5.78,9.2,3,2.48,0,no
764,NM,122,408,no,yes,33,103,29.73,105,21.1,116,7.41,13.5,3,3.65,1,yes
765,SC,93,415,no,no,0,68,32.33,64,22.29,92,5.85,8.8,4,2.38,0,no
766,VT,85,415,no,no,0,122,29.99,123,19.12,50,9.88,11.5,1,3.11,1,no
767,LA,87,415,no,no,0,90,38.88,99,13.86,90,6.93,11.8,3,3.19,1,no
768,OH,137,408,no,no,0,90,24.48,100,15.44,93,5.76,12.3,2,3.32,0,no
769,OR,21,510,no,yes,31,90,23.1,84,23.04,89,8.06,9.5,7,2.57,6,no
770,DE,129,510,no,no,0,118,56.83,104,16.33,83,8.59,10.4,6,2.81,0,yes
771,KY,104,415,no,no,0,77,22.19,117,11.15,63,11.91,13.0,6,3.51,0,no
772,GA,93,408,no,yes,21,105,22.81,128,13.81,90,8.4,11.8,2,3.19,4,yes
773,VT,63,415,no,no,0,102,47.26,114,22.64,118,10.08,13.1,4,3.54,4,yes
774,OR,161,415,no,no,0,70,17.92,122,18.26,126,10.06,7.8,5,2.11,0,no
775,ND,84,415,no,yes,33,106,27.05,101,12.73,108,9.6,13.0,18,3.51,1,no
776,MN,92,510,no,no,0,105,36.11,118,19.09,105,9.96,9.0,4,2.43,1,no
777,FL,159,415,no,yes,15,102,19.36,146,12.35,137,8.78,11.8,9,3.19,1,no
778,KS,110,415,yes,yes,27,103,45.54,74,22.38,106,8.01,8.3,2,2.24,1,yes
779,NV,178,408,no,no,0,150,46.82,62,15.94,126,6.62,13.6,3,3.67,1,no
780,SC,38,415,no,yes,31,118,33.52,70,21.24,104,13.45,3.9,2,1.05,0,no
781,MI,45,510,no,yes,26,104,15.59,119,12.8,103,2.85,7.7,5,2.08,1,no
782,TN,70,510,no,no,0,99,21.47,106,12.04,96,11.52,9.6,2,2.59,0,no
783,NV,94,510,no,no,0,108,32.4,95,12.95,97,6.51,7.5,5,2.03,1,no
784,IL,179,510,no,no,0,101,19.74,99,17.15,103,8.19,11.6,5,3.13,0,no
785,MS,116,415,no,no,0,91,36.94,95,18.37,76,6.66,11.3,3,3.05,2,no
786,ND,59,510,no,no,0,80,30.5,99,19.76,105,7.91,14.7,3,3.97,0,no
787,NC,165,415,no,no,0,109,35.31,94,14.01,91,2.45,7.9,3,2.13,0,no
788,MI,133,408,no,no,0,138,47.14,117,19.41,103,5.28,12.8,4,3.46,2,yes
789,VT,93,408,no,yes,32,91,23.48,72,14.22,115,10.75,6.8,3,1.84,2,no
790,OK,52,510,no,yes,38,88,28.78,97,19.2,86,7.74,8.2,3,2.21,0,no
791,ND,12,510,yes,no,0,117,36.84,126,9.9,110,9.9,9.8,4,2.65,2,no
792,NY,181,408,no,no,0,91,24.36,58,16.62,95,10.05,6.0,7,1.62,1,no
793,MO,168,415,no,yes,42,57,16.56,98,17.31,124,7.83,11.4,2,3.08,2,no
794,FL,155,415,no,no,0,111,30.84,92,14.25,122,7.58,11.3,3,3.05,3,no
795,ND,105,510,no,no,0,83,41.89,101,21.78,151,7.61,3.8,4,1.03,0,no
796,NY,11,415,no,no,0,130,24.38,50,24.6,100,8.73,9.7,6,2.62,2,no
797,NY,104,415,no,no,0,93,26.55,54,16.41,94,10.02,13.1,5,3.54,1,no
798,AL,122,415,no,no,0,96,39.53,120,17.47,91,9.62,11.9,2,3.21,0,no
799,SC,41,415,no,no,0,117,24.41,108,12.95,110,8.75,8.6,3,2.32,1,no
800,WV,13,415,no,no,0,74,24.89,92,12.62,96,9.75,11.3,3,3.05,1,no
801,HI,115,415,no,yes,33,72,24.65,157,16.53,138,10.9,14.2,3,3.83,2,no
802,WV,67,408,no,no,0,91,28.53,69,14.25,71,4.96,8.4,12,2.27,1,no
803,LA,154,510,no,no,0,99,28.37,97,13.17,89,8.52,7.2,5,1.94,0,no
804,AR,100,510,no,no,0,87,24.23,88,16.63,117,5.49,7.8,8,2.11,2,no
805,DC,148,415,no,yes,11,129,42.99,88,24.17,99,11.83,12.3,1,3.32,1,no
806,AL,67,415,no,yes,28,94,16.15,73,24.75,114,7.18,10.0,2,2.7,2,no
807,MN,116,510,no,no,0,82,34.31,95,19.68,130,10.17,16.5,5,4.46,0,no
808,VA,99,415,no,yes,42,125,36.72,104,19.75,100,9.7,9.3,4,2.51,2,yes
809,UT,87,415,no,no,0,108,24.87,102,14.6,66,7.54,5.3,9,1.43,1,no
810,IN,87,510,no,no,0,85,39.92,91,11.98,93,9.19,9.5,5,2.57,1,no
811,DE,131,408,no,no,0,80,16.05,101,18.28,108,8.09,13.1,9,3.54,2,no
812,VT,119,510,no,no,0,74,32.37,113,18.33,111,7.25,10.0,1,2.7,2,no
813,MO,119,408,no,yes,32,77,24.24,126,17.7,102,7.69,12.0,2,3.24,3,no
814,RI,87,510,yes,no,0,80,22.81,71,14.03,102,7.79,10.7,5,2.89,0,no
815,CA,112,415,no,no,0,92,19.02,143,9.69,79,6.61,14.1,3,3.81,5,yes
816,RI,75,415,no,no,0,89,20.88,104,17.96,91,11.76,10.7,2,2.89,2,no
817,CT,150,510,no,no,0,77,32.18,105,18.78,117,10.74,9.2,5,2.48,4,no
818,IN,161,510,no,yes,38,112,40.87,102,17.15,112,9.27,16.1,6,4.35,0,no
819,FL,91,510,yes,yes,24,112,15.9,128,15.59,133,10.83,9.9,3,2.67,0,no
820,KS,124,415,no,no,0,104,26.96,77,17.95,104,8.07,10.2,8,2.75,3,no
821,NY,94,510,yes,no,0,109,41.34,88,12.5,99,4.27,7.2,4,1.94,4,no
822,RI,158,510,no,no,0,129,37.55,108,20.59,75,10.5,6.4,5,1.73,0,no
823,NV,102,415,no,no,0,87,24.55,128,22.65,59,9.79,7.1,7,1.92,0,no
824,UT,85,510,no,no,0,107,36.09,103,19.41,116,7.35,7.7,3,2.08,0,no
825,MN,139,510,no,yes,25,112,16.35,70,15.21,84,8.19,12.9,10,3.48,2,no
826,NC,103,415,no,no,0,118,44.78,69,15.22,112,9.66,10.3,2,2.78,0,no
827,OR,98,415,yes,no,0,67,2.13,90,21.81,88,7.62,7.7,9,2.08,1,no
828,NH,78,408,no,no,0,116,27.59,86,16.35,100,10.83,10.1,3,2.73,2,no
829,AK,50,408,no,no,0,107,31.21,118,4.98,99,9.12,8.7,3,2.35,1,no
830,OR,161,415,no,no,0,109,30.28,86,12.45,78,6.19,8.5,2,2.3,1,no
831,KS,67,408,no,no,0,101,34.24,122,8.3,119,9.11,7.0,3,1.89,0,no
832,GA,92,510,no,no,0,125,35.36,76,16.91,97,3.44,8.6,6,2.32,0,no
833,OH,124,510,no,no,0,97,32.81,99,7.63,104,7.78,15.3,3,4.13,1,no
834,RI,190,415,no,yes,26,71,19.84,88,12.4,103,7.88,9.9,3,2.67,1,no
835,HI,101,510,no,no,0,127,15.95,104,12.75,116,10.85,10.7,2,2.89,1,no
836,LA,118,408,no,no,0,97,31.86,89,15.11,97,10.5,12.2,6,3.29,1,no
837,PA,124,415,no,no,0,119,28.46,143,19.82,115,4.93,10.3,5,2.78,0,no
838,MN,75,415,no,no,0,92,24.34,142,17.77,96,7.79,11.9,9,3.21,1,no
839,MO,164,408,no,yes,25,88,37.25,99,12.88,60,2.25,14.3,6,3.86,1,no
840,NH,110,408,no,no,0,81,27.54,89,21.04,99,7.0,8.9,8,2.4,0,no
841,NY,108,415,no,no,0,123,26.21,86,9.55,75,11.09,15.4,4,4.16,4,yes
842,ME,80,408,no,no,0,113,54.79,95,18.87,123,7.33,6.7,8,1.81,0,yes
843,MN,158,408,no,no,0,112,35.68,82,18.81,93,9.45,8.2,3,2.21,1,no
844,OH,114,415,no,no,0,88,32.56,78,14.89,118,9.91,0.0,0,0.0,0,no
845,NC,64,408,no,yes,19,150,49.49,123,19.27,67,9.86,7.5,2,2.03,1,no
846,SD,88,415,no,no,0,115,36.65,85,18.38,65,7.71,11.8,1,3.19,3,no
847,KY,111,415,no,no,0,97,43.5,129,17.35,84,7.71,12.3,5,3.32,3,no
848,NJ,113,408,no,no,0,72,22.46,107,21.04,123,11.08,6.9,6,1.86,3,no
849,IN,105,510,no,yes,42,79,17.32,97,18.96,77,10.87,12.9,2,3.48,0,no
850,DE,85,510,no,no,0,100,35.96,88,15.69,131,7.39,13.3,4,3.59,2,no
851,AL,131,510,no,no,0,86,26.08,81,16.87,83,7.4,10.4,3,2.81,0,no
852,ME,59,510,no,no,0,95,28.27,87,20.34,108,5.54,10.0,3,2.7,2,no
853,SD,148,408,no,no,0,87,31.48,96,14.48,104,7.43,9.5,13,2.57,1,no
854,ID,106,510,no,no,0,120,46.65,82,16.88,62,7.24,6.0,3,1.62,1,no
855,RI,93,415,no,no,0,78,16.73,129,21.22,114,11.17,14.2,4,3.83,1,no
856,KY,57,415,no,yes,29,121,47.58,109,18.96,94,11.33,13.0,2,3.51,1,no
857,ND,98,510,no,no,0,127,31.82,88,16.63,129,8.18,5.1,4,1.38,1,no
858,HI,157,415,no,no,0,95,46.95,119,14.09,79,6.82,2.2,4,0.59,3,no
859,KS,52,415,no,no,0,78,28.14,89,17.47,124,9.61,12.2,6,3.29,0,no
860,AL,72,415,no,no,0,93,37.03,113,16.12,91,8.22,10.4,5,2.81,4,no
861,NC,86,510,no,no,0,115,32.39,130,15.27,89,11.63,10.1,5,2.73,3,no
862,DE,98,415,no,yes,29,97,30.58,89,16.08,76,7.39,12.8,7,3.46,3,no
863,WY,151,510,no,no,0,104,40.1,91,6.85,116,9.58,5.8,2,1.57,3,no
864,ID,118,415,no,no,0,112,23.87,60,15.9,155,9.36,7.9,1,2.13,0,no
865,NY,117,415,no,no,0,115,24.58,66,22.0,113,11.39,7.4,9,2.0,2,no
866,MO,55,510,no,no,0,100,32.13,99,10.07,87,11.16,17.1,6,4.62,0,no
867,ID,82,408,no,no,0,93,17.17,104,13.23,93,13.7,13.3,2,3.59,0,no
868,IA,152,415,no,no,0,98,35.07,82,24.89,121,1.97,10.6,4,2.86,1,no
869,OH,98,408,no,no,0,129,28.05,113,17.22,94,7.75,12.5,7,3.38,1,yes
870,IL,130,415,no,no,0,95,26.5,97,21.77,103,11.83,11.7,3,3.16,3,no
871,FL,136,408,yes,no,0,122,33.86,114,18.25,105,6.79,11.8,7,3.19,1,no
872,MA,47,415,no,no,0,116,26.4,85,16.0,73,11.12,12.3,4,3.32,3,no
873,OK,189,415,no,no,0,106,35.41,123,20.12,120,8.06,11.3,5,3.05,3,no
874,KY,107,415,no,no,0,79,26.71,124,13.82,138,6.75,12.1,6,3.27,1,no
875,VA,11,408,no,yes,24,98,22.36,111,19.57,87,12.77,10.0,3,2.7,2,no
876,NY,167,415,no,no,0,85,28.29,135,20.67,95,10.31,9.9,5,2.67,1,no
877,MT,111,408,no,no,0,75,24.19,106,10.44,94,10.33,12.8,9,3.46,2,no
878,VT,99,408,no,yes,19,103,14.91,86,18.96,112,8.2,7.3,4,1.97,2,no
879,KS,159,415,no,yes,19,78,31.3,71,16.53,101,10.15,16.9,3,4.56,0,no
880,VA,114,415,yes,yes,31,104,29.67,92,19.06,91,5.23,12.3,10,3.32,2,no
881,AL,71,415,no,no,0,103,17.56,79,11.77,98,7.42,9.0,2,2.43,2,no
882,PA,122,415,no,no,0,62,5.97,89,15.37,58,11.32,12.7,2,3.43,1,no
883,AL,100,408,no,yes,25,94,41.92,112,12.02,109,8.54,13.0,5,3.51,1,no
884,NV,64,408,no,no,0,73,25.18,101,14.02,125,9.72,12.3,2,3.32,5,yes
885,TN,105,408,no,no,0,84,35.05,138,21.79,91,5.27,9.0,3,2.43,1,no
886,ID,144,415,no,yes,33,87,42.77,118,16.8,97,9.41,12.2,3,3.29,2,no
887,TX,19,510,no,yes,34,97,26.62,97,19.06,135,11.74,11.3,1,3.05,1,no
888,MA,46,408,no,no,0,81,23.7,113,19.01,77,7.79,13.6,6,3.67,1,no
889,IL,127,510,no,no,0,108,37.43,124,16.01,113,7.77,11.7,3,3.16,2,no
890,CO,157,415,no,no,0,74,33.32,96,18.14,81,8.86,7.9,6,2.13,1,no
891,UT,105,415,no,no,0,71,18.09,83,20.41,114,6.65,5.3,4,1.43,6,yes
892,MI,105,415,no,yes,29,113,30.5,100,23.41,105,11.07,10.0,5,2.7,0,no
893,NH,155,408,no,no,0,30,36.84,125,12.27,106,6.09,10.8,1,2.92,2,no
894,WA,161,415,no,no,0,117,25.77,87,18.65,68,10.11,4.0,5,1.08,1,no
895,MN,95,408,no,yes,32,123,44.57,82,14.04,57,8.74,10.6,5,2.86,0,no
896,NY,122,415,no,no,0,110,29.51,84,7.79,103,9.53,9.7,7,2.62,3,no
897,GA,132,415,no,no,0,106,32.86,94,10.91,119,7.29,11.6,4,3.13,5,yes
898,HI,119,408,no,yes,24,94,36.92,52,11.79,85,6.27,11.3,4,3.05,0,no
899,CO,76,408,no,yes,26,110,36.48,87,17.44,140,6.06,8.1,2,2.19,1,no
900,NJ,129,415,no,no,0,117,28.63,129,18.45,100,3.67,11.8,7,3.19,1,no
901,FL,116,408,no,no,0,123,24.89,113,15.01,102,9.57,7.8,5,2.11,1,no
902,CA,60,415,yes,no,0,110,31.11,93,17.57,119,9.17,11.1,6,3.0,1,no
903,KS,128,415,no,no,0,122,17.56,123,20.9,95,7.25,6.4,7,1.73,0,no
904,TX,47,408,no,yes,28,70,19.07,106,13.16,105,7.5,10.6,2,2.86,0,no
905,MN,40,510,yes,no,0,55,29.02,108,15.22,89,12.69,8.2,9,2.21,3,no
906,AK,173,510,no,no,0,78,29.33,91,12.12,63,4.59,10.9,2,2.94,0,no
907,MS,66,408,no,yes,32,117,31.93,90,11.03,113,5.95,12.0,3,3.24,2,no
908,VT,50,415,yes,yes,26,94,52.21,78,24.6,109,7.87,8.0,3,2.16,0,no
909,UT,72,415,no,no,0,106,20.09,136,14.21,106,9.64,12.2,3,3.29,3,no
910,KS,130,510,no,no,0,95,26.18,106,17.5,75,10.52,12.9,1,3.48,1,no
911,NV,143,408,no,no,0,101,26.44,89,18.14,61,10.71,7.6,11,2.05,1,no
912,DE,89,510,yes,no,0,108,21.35,90,18.11,108,8.18,5.4,5,1.46,1,no
913,IN,108,415,no,no,0,104,33.88,92,19.06,57,6.3,15.2,2,4.1,0,no
914,TX,32,408,no,no,0,88,26.84,132,15.37,102,5.96,12.8,3,3.46,1,no
915,MA,166,415,no,no,0,81,34.58,110,14.25,124,5.94,9.2,5,2.48,2,no
916,VT,109,408,no,no,0,113,37.77,122,18.57,88,11.97,10.9,5,2.94,1,no
917,IA,134,415,no,yes,32,78,36.86,111,8.69,83,7.83,8.6,2,2.32,0,no
918,NH,13,415,no,no,0,89,32.84,90,16.52,104,8.39,9.7,2,2.62,4,no
919,GA,90,415,no,no,0,108,19.24,63,16.09,124,12.23,14.1,4,3.81,3,no
920,WI,111,415,no,yes,36,54,28.25,109,20.3,92,4.9,11.2,2,3.02,3,no
921,CO,101,408,no,yes,23,101,44.57,80,13.35,100,5.81,7.3,14,1.97,1,no
922,SC,72,415,no,no,0,92,35.33,110,16.63,124,8.32,13.1,4,3.54,0,no
923,MI,67,510,no,yes,35,89,41.72,102,12.6,136,12.33,7.5,6,2.03,1,no
924,MD,172,408,no,no,0,108,48.81,125,15.16,98,6.89,14.4,2,3.89,3,yes
925,IN,154,510,no,yes,32,82,32.69,134,14.05,74,9.23,9.0,1,2.43,2,no
926,ME,69,510,no,no,0,122,33.01,81,20.58,80,9.71,9.7,3,2.62,2,no
927,DC,123,415,no,no,0,92,35.87,102,18.45,104,9.67,9.8,7,2.65,3,no
928,TN,130,415,no,yes,12,92,24.12,102,19.46,101,8.78,8.7,5,2.35,0,no
929,FL,142,415,no,yes,26,94,37.49,126,20.36,109,11.44,5.9,9,1.59,2,no
930,WA,29,415,no,no,0,122,26.76,75,12.33,92,12.68,9.3,2,2.51,1,no
931,HI,87,408,no,yes,28,106,24.4,147,19.0,69,7.89,11.2,5,3.02,0,no
932,TN,146,408,yes,no,0,63,27.22,112,17.71,98,7.99,9.2,3,2.48,2,no
933,NM,119,415,yes,yes,15,95,27.2,110,17.81,107,3.7,8.7,5,2.35,5,yes
934,VT,48,510,no,no,0,63,32.03,89,14.1,71,9.26,13.2,2,3.56,1,no
935,OR,135,415,no,no,0,97,33.12,118,20.0,126,7.85,11.0,3,2.97,1,no
936,IN,100,510,no,no,0,117,42.13,95,11.05,125,6.04,6.9,2,1.86,1,no
937,FL,75,510,no,yes,26,86,20.15,118,18.18,99,5.97,13.4,3,3.62,2,no
938,DC,180,415,no,yes,33,78,39.41,79,19.8,121,9.31,7.6,4,2.05,1,no
939,VT,100,415,no,yes,25,90,36.7,92,21.92,157,8.11,11.6,4,3.13,1,no
940,OH,119,415,no,yes,35,92,36.91,134,18.77,93,11.23,8.0,5,2.16,2,no
941,MO,86,415,no,no,0,96,14.2,63,18.79,75,15.74,12.6,3,3.4,0,no
942,LA,155,408,no,yes,39,106,31.16,101,17.43,90,11.87,5.1,7,1.38,1,no
943,NJ,153,415,no,no,0,90,32.95,121,16.6,108,8.22,8.5,3,2.3,1,no
944,IA,92,510,no,yes,25,112,22.78,111,17.51,118,8.13,9.7,4,2.62,0,no
945,WA,13,510,no,yes,25,65,30.02,96,14.68,128,4.7,11.3,5,3.05,2,no
946,NE,154,415,no,no,0,93,32.54,119,17.46,121,9.26,10.2,3,2.75,3,no
947,CT,144,510,yes,yes,35,127,29.72,93,18.67,90,11.51,12.8,3,3.46,0,no
948,WV,48,408,no,no,0,67,46.78,108,15.32,110,7.15,7.9,2,2.13,1,no
949,ND,94,408,no,no,0,85,29.58,114,20.49,94,9.35,7.9,1,2.13,1,no
950,UT,139,415,no,no,0,132,28.05,86,21.22,128,7.66,12.6,8,3.4,1,no
951,MN,122,415,no,no,0,88,18.34,109,20.04,119,10.29,9.5,3,2.57,2,no
952,NH,139,510,no,no,0,140,37.62,89,13.41,89,8.66,11.3,6,3.05,1,no
953,LA,95,415,no,no,0,84,23.99,108,17.97,127,4.67,5.9,6,1.59,3,no
954,KS,131,415,no,yes,28,87,42.43,138,19.31,92,10.8,7.6,3,2.05,3,no
